# Cores with an Android build, from buildbot.libretro.com.
# Generated by scripts/android-cores.py. Do not hand-edit.
#
# Build input, not a shipped asset: CuratedCatalogueTest reads it to assert every curated core
# builds for both ABIs. The app does not consult it, because the catalogue is already only
# runnable cores.
#
# <core id> <abis>   64 = arm64-v8a, 32 = armeabi-v7a
2048_libretro 64,32
3dengine_libretro 64,32
81_libretro 64,32
DoubleCherryGB_libretro 64,32
a5200_libretro 64,32
amiarcadia_libretro 64,32
amiberry_libretro 64
anarch_libretro 64,32
applewin_libretro 64,32
ardens_libretro 64,32
arduous_libretro 64,32
armsx2_libretro 64
atari800_libretro 64,32
b2_libretro 64,32
bbkemu_libretro 64,32
bk_libretro 64,32
blastem_libretro 64,32
bluemsx_libretro 64,32
boom3_libretro 64,32
bsnes-jg_libretro 64,32
bsnes2014_accuracy_libretro 64,32
bsnes2014_balanced_libretro 64,32
bsnes2014_performance_libretro 64,32
bsnes_cplusplus98_libretro 64,32
bsnes_hd_beta_libretro 64,32
bsnes_libretro 64,32
bsnes_mercury_accuracy_libretro 64,32
bsnes_mercury_balanced_libretro 64,32
bsnes_mercury_performance_libretro 64,32
cannonball_libretro 64,32
cap32_libretro 64,32
cemu_libretro 64
chailove_libretro 64,32
citra2018_libretro 64
citra_libretro 64
clownmdemu_libretro 64,32
craft_libretro 64,32
crocods_libretro 64,32
daphne_libretro 64,32
desmume2015_libretro 64,32
desmume_libretro 64,32
dice_libretro 64,32
dingooemu_libretro 64,32
dinothawr_libretro 64,32
dirksimple_libretro 64,32
dolphin_libretro 64,32
dosbox_core_libretro 64,32
dosbox_libretro 64,32
dosbox_pure_libretro 64,32
dosbox_svn_libretro 64,32
doukutsu_rs_libretro 64,32
easyrpg_libretro 64,32
ecwolf_libretro 64,32
emuscv_libretro 64,32
ep128emu_core_libretro 64,32
fbalpha2012_cps1_libretro 64,32
fbalpha2012_cps2_libretro 64,32
fbalpha2012_cps3_libretro 64,32
fbalpha2012_libretro 64,32
fbalpha2012_neogeo_libretro 64,32
fbalpha_libretro 64,32
fbneo_libretro 64,32
fceumm_libretro 64,32
ffmpeg_libretro 64,32
fixgb_libretro 64,32
fixnes_libretro 64,32
flycast_libretro 64,32
fmsx_libretro 64,32
freechaf_libretro 64,32
freeintv_libretro 64,32
frodo_libretro 64,32
fuse_libretro 64,32
galaksija_libretro 64,32
gam4980_libretro 64,32
gambatte_libretro 64,32
gearboy_libretro 64,32
gearcoleco_libretro 64,32
geargrafx_libretro 64,32
gearlynx_libretro 64,32
gearsystem_libretro 64,32
genesis_plus_gx_libretro 64,32
genesis_plus_gx_wide_libretro 64,32
geolith_libretro 64,32
gme_libretro 64,32
gong_libretro 64,32
gpsp_libretro 64,32
gw_libretro 64,32
handy_libretro 64,32
hatari2014_libretro 64,32
hatari_libretro 64,32
hatarib_libretro 64,32
hbmame_libretro 64,32
holani_libretro 64,32
irogb_libretro 64
jaxe_libretro 64,32
jollycv_libretro 64,32
jumpnbump_libretro 64,32
lowresnx_libretro 64,32
lutro_libretro 64,32
m2000_libretro 64,32
mame2000_libretro 64,32
mame2003_libretro 64,32
mame2003_midway_libretro 64,32
mame2003_plus_libretro 64,32
mame2010_libretro 64,32
mame2015_libretro 64,32
mame2016_libretro 64,32
mamearcade_libretro 64,32
mamemess_libretro 64
mcsoftserve_libretro 64,32
mednafen_gba_libretro 64,32
mednafen_lynx_libretro 64,32
mednafen_ngp_libretro 64,32
mednafen_pce_fast_libretro 64,32
mednafen_pce_libretro 64,32
mednafen_pcfx_libretro 64,32
mednafen_psx_hw_libretro 64,32
mednafen_psx_libretro 64,32
mednafen_saturn_libretro 64,32
mednafen_snes_libretro 64,32
mednafen_supafaust_libretro 64,32
mednafen_supergrafx_libretro 64,32
mednafen_vb_libretro 64,32
mednafen_wswan_libretro 64,32
melonds_libretro 64,32
melondsds_libretro 64,32
mesen-s_libretro 64,32
mesen2_libretro 64,32
mesen_libretro 64,32
meteor_libretro 64,32
mgba_libretro 64,32
minivmac_libretro 64,32
mojozork_libretro 64,32
mrboom_libretro 64,32
mu_libretro 64,32
mupen64plus_next_gles2_libretro 64,32
mupen64plus_next_gles3_libretro 64,32
na_libretro 32
native32emu_libretro 64,32
nekop2_libretro 64,32
neocd_libretro 64,32
nestopia_libretro 64,32
nicaiemu_libretro 64,32
noods_libretro 64,32
np2kai_libretro 64,32
nuance_libretro 64
numero_libretro 64,32
nxengine_libretro 64,32
o2em_libretro 64,32
oberon_libretro 64,32
openlara_libretro 64,32
opera_libretro 64,32
panda3ds_libretro 64
parallel_n64_libretro 64,32
pcee2_libretro 64
pcsx2_libretro 64
pcsx_rearmed_libretro 64,32
pd777_libretro 64,32
picodrive_libretro 64,32
play_libretro 64,32
pocketcdg_libretro 64,32
pokemini_libretro 64,32
pokketstation_libretro 64,32
potator_libretro 64,32
ppsspp_libretro 64,32
prboom_libretro 64,32
prosystem_libretro 64,32
puae2021_libretro 64,32
puae_libretro 64,32
px68k_libretro 64,32
qemu_libretro 64,32
quasi88_libretro 64,32
quicknes_libretro 64,32
race_libretro 64,32
radio_libretro 64,32
reminiscence_libretro 64,32
retro8_libretro 64,32
romcleaner_libretro 64,32
rustynes_libretro 64,32
same_cdi_libretro 64,32
sameboy_libretro 64,32
sameduck_libretro 64,32
scummvm_libretro 64,32
skyemu_libretro 64,32
smsplus_libretro 64,32
snes9x2002_libretro 64,32
